id,brand,name,category,why,shop,photo_w,photo_h,photo_url
asus-l410ma-tb02-n4020-90nb0q15-m32880-star,ASUS,"L410MA-TB02 N4020, 90NB0Q15-M32880 Star",laptop,no source image at all,eldorado,,,
asus-l510mads04,ASUS,L510MADS04,laptop,no source image at all,eldorado,,,
asus-tuf-gaming-a16-fa608p,ASUS,TUF Gaming A16 FA608P,laptop,no source image at all,eldorado,,,
asus-vivobook-15-core-3-100u-x1504vap-c38128-w11,ASUS,Vivobook 15 X1504VAP,laptop,no source image at all,eldorado,,,
asus-vivobook-15-m1502n,ASUS,Vivobook 15 M1502N,laptop,no source image at all,eldorado,,,
asus-vivobook-16-amd-ryzen-7-7730u-90nb10r1-m00ch0-w11,ASUS,Vivobook 16 (Ryzen 7),laptop,no source image at all,eldorado,,,
asus-vivobook-16-i7-1355u-f1605va-ws74-w11,ASUS,"Vivobook 16, i7-1355U, F1605VA-WS74, W11",laptop,no source image at all,eldorado,,,
asus-vivobook-17-x1704vap,ASUS,Vivobook 17 X1704VAP,laptop,no source image at all,eldorado,,,
asus-vivobook-e1404ga-nk053w,ASUS,VivoBook E1404GA-NK053W,laptop,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/03/red812_1.jpg
asus-vivobook-e410ma-bv2490w,ASUS,VivoBook E410MA-BV2490W,laptop,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/04/nibl_283.jpg
asus-vivobook-s-15-6-i9-13900h-16-1-camo-w11-k5504va-pb99-sl,ASUS,Vivobook S 15 (i9),laptop,no source image at all,zigzag,,,
asus-vivobook-s14-s3407v,ASUS,Vivobook S14 S3407V,laptop,no source image at all,eldorado,,,
asus-vivobook-s16-s3607v,ASUS,Vivobook S16 S3607V,laptop,no source image at all,eldorado,,,
asus-vivobook-x1404za-i38128,ASUS,VivoBook X1404ZA-I38128,laptop,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/03/red839_1.jpg
asus-vivobook-x1504va-nj451,ASUS,VivoBook X1504VA-NJ451,laptop,no source image at all,ibolit,700,700,https://ibolit.mobi/wp-content/uploads/2025/04/nibl_335.jpg
