id,brand,name,category,offers,why,best_source_px,source_file
apple-ipad-pro-12-9-m2-cell-spacegray-mp5x3,Apple,iPad Pro 12.9 M2 Cell SpaceGray/MP5X3*,tablet,1,no source saved,0,
apple-ipad-pro-12-9-m2-wifi-s-grey-mnxp3rk-a,Apple,iPad Pro 12.9 M2 WiFi S.Grey/MNXP3RK/A,tablet,1,no source saved,0,
apple-ipad-pro-12-9-m2-wifi-silver-mnxq3rk-a,Apple,iPad Pro 12.9 M2 WiFi Silver/MNXQ3RK/A,tablet,1,no source saved,0,
beats-solo-true-wireless,Beats,Solo Buds True Wireless,headphones,1,no source saved,0,
dell-15-ldc15250-7427blk-pus-touch-w11,Dell,"15, LDC15250-7427BLK-PUS, Touch, W11",laptop,1,no source saved,0,
dell-n2y94,Dell,N2Y94,laptop,1,no source saved,0,
dyson-zone-absoluteplus,Dyson,Zone Absolute+,headphones,1,source only 500px,500,dyson-zone-absoluteplus__main.jpg
garmin-cirqa-smart-band-french-l-xl,Garmin,CIRQA Smart Band French L/XL,watch,1,no source saved,0,
garmin-cirqa-smart-band-mauve-l-xl,Garmin,CIRQA Smart Band Mauve L-XL,watch,1,no source saved,0,
garmin-fenix-7-pro-sapphire-solar,Garmin,Fenix 7 Pro Sapphire Solar,watch,1,no source saved,0,
garmin-fenix-7x-pro-sapphire-solar-edition,Garmin,Fenix 7X Pro – Sapphire Solar Edition,watch,1,no source saved,0,
garmin-fenix-8-pro-47-mm-amoled,Garmin,"Fenix 8 Pro, AMOLED",watch,1,no source saved,0,
garmin-forerunner-170,Garmin,Forerunner 170,watch,1,no source saved,0,
garmin-forerunner-170-music,Garmin,Forerunner 170 Music,watch,1,no source saved,0,
garmin-forerunner-170-music-whitestone,Garmin,Forerunner 170 Music Whitestone,watch,1,no source saved,0,
garmin-forerunner-170-whitestone,Garmin,Forerunner 170 Whitestone,watch,1,no source saved,0,
garmin-forerunner-570,Garmin,Forerunner 570,watch,1,no source saved,0,
garmin-forerunner-70,Garmin,Forerunner 70,watch,1,no source saved,0,
garmin-forerunner-70-citron,Garmin,Forerunner 70 Citron,watch,1,no source saved,0,
garmin-forerunner-70-whitestone,Garmin,Forerunner 70 Whitestone,watch,1,no source saved,0,
garmin-forerunner-965-black-powder,Garmin,Forerunner 965 Black/Powder Grey,watch,1,no source saved,0,
garmin-forerunner-970-010-02969-10,Garmin,Forerunner 970 010-02969-10,watch,1,no source saved,0,
garmin-forerunner-970,Garmin,Forerunner 970 Black,watch,1,no source saved,0,
garmin-instinct-2x-solar,Garmin,Instinct 2X Solar,watch,1,no source saved,0,
garmin-instinct-2x-solar-moss,Garmin,Instinct 2X Solar Moss,watch,1,no source saved,0,
garmin-instinct-2x-solar-tactical-edition,Garmin,Instinct 2X Solar – Tactical Edition,watch,1,no source saved,0,
garmin-instinct-3-50mm-solar,Garmin,"Instinct 3, Solar",watch,1,no source saved,0,
garmin-venu-3-leather,Garmin,Venu 3 leather,watch,1,no source saved,0,
garmin-venu-3-with-leather,Garmin,Venu 3 with Leather,watch,1,no source saved,0,
garmin-venu-3s-french,Garmin,Venu 3s French,watch,1,no source saved,0,
garmin-venu-x1-moss,Garmin,Venu X1 Moss,watch,1,no source saved,0,
garmin-venu-x1-gps,Garmin,"Venu X1, GPS",watch,1,no source saved,0,
garmin-venu-x1-gps-moss,Garmin,"Venu X1, GPS, Moss",watch,1,no source saved,0,
garmin-vivoactive-5-metallic-orchid,Garmin,vivoactive 5 Metallic orchid,watch,1,no source saved,0,
google-pixel-10-pro-fold-gu0np,Google,Pixel 10 Pro Fold /GU0NP,phone,1,no source saved,0,
hp-envy-hayden-22c1,HP,ENVY Hayden 22C1,laptop,1,no source saved,0,
hp-g10-470g10,HP,G10 470G10,laptop,1,no source saved,0,
hp-omnibook-5-16-ultra-7-255u-16-1-bk9y8ea,HP,OmniBook 5 16 (Ultra 7),laptop,1,no source saved,0,
hp-victus-clamshell-roaree-24c1,HP,Victus Clamshell Roaree 24C1,laptop,1,no source saved,0,
hisense-32a4n,Hisense,32A4N,tv,1,no source saved,0,
hisense-40a4n,Hisense,40A4N,tv,1,no source saved,0,
hisense-43a7kq,Hisense,43A7KQ,tv,1,no source saved,0,
hisense-50a7nq,Hisense,50A7NQ,tv,1,no source saved,0,
hisense-55a6n,Hisense,55A6N,tv,1,no source saved,0,
hisense-65a7nq,Hisense,65A7NQ,tv,1,no source saved,0,
hisense-65a85k,Hisense,65A85K,tv,1,no source saved,0,
hisense-65u7hq,Hisense,65U7HQ,tv,1,no source saved,0,
hisense-65uxkq,Hisense,65UXKQ,tv,1,no source saved,0,
hisense-75e8s,Hisense,75E8S,tv,1,no source saved,0,
hisense-85a6bg,Hisense,85A6BG,tv,1,no source saved,0,
hisense-85e8s,Hisense,85E8S,tv,1,no source saved,0,
hisense-85u7s-pro,Hisense,85U7S PRO,tv,1,no source saved,0,
honor-magicbook-x16-2026-16-wuxga-ssd1tb,Honor,"MagicBook X16 2026 16"" WUXGA /SSD1TB",laptop,1,no source saved,0,
honor-pad-x7-jms-w09,Honor,Pad X7 JMS-W09,tablet,1,no source saved,0,
honor-pad-x7-lte-jms-l09,Honor,Pad X7 LTE JMS-L09,tablet,1,no source saved,0,
honor-pad-x8b-ndl2-l09,Honor,Pad X8b NDL2-L09,tablet,1,no source saved,0,
honor-pad-x8b-ndl2-w09,Honor,Pad X8b NDL2-W09,tablet,1,no source saved,0,
honor-5-stl-b19-5502abgj,Honor,Watch 5,watch,1,no source saved,0,
lg-43nano766qa,LG,43NANO766QA,tv,1,no source saved,0,
lg-43uq81006lb,LG,43UQ81006LB,tv,1,no source saved,0,
lg-55nano766qa,LG,55NANO766QA,tv,1,no source saved,0,
lg-55nano816na,LG,55NANO816NA,tv,1,no source saved,0,
lg-55qned816ra,LG,55QNED816RA,tv,1,no source saved,0,
lg-55ur81006lj,LG,55UR81006LJ,tv,1,no source saved,0,
lg-65nano766qa,LG,65NANO766QA,tv,1,no source saved,0,
lg-65qned80a6a,LG,65QNED80A6A,tv,1,no source saved,0,
lg-oled65b5rla,LG,OLED65B5RLA,tv,1,no source saved,0,
lenovo-82vg00wxus,Lenovo,82VG00WXUS,laptop,1,no source saved,0,
lenovo-82xb00hvus,Lenovo,82XB00HVUS,laptop,1,no source saved,0,
lenovo-82yu016tpb,Lenovo,82YU016TPB,laptop,1,no source saved,0,
lenovo-83b40008us,Lenovo,83B40008US,laptop,1,no source saved,0,
lenovo-83f00005us,Lenovo,83F00005US,laptop,1,no source saved,0,
lenovo-83l7002nus,Lenovo,83L7002NUS,laptop,1,no source saved,0,
lenovo-83lk0001us,Lenovo,83LK0001US,laptop,1,no source saved,0,
lenovo-83lk00cvus,Lenovo,83LK00CVUS,laptop,1,no source saved,0,
lenovo-ideacentre-aio-23-8-24irh-9,Lenovo,"IdeaCentre AIO 23. 8"" 24IRH 9",desktop,1,no source saved,0,
lenovo-ideacentre-aio-27irh-9-27,Lenovo,"IdeaCentre AIO 27IRH 9 27""",desktop,1,no source saved,0,
lenovo-ideapad-5-2-in-1-touch-w11-83ds0056us,Lenovo,"IdeaPad 5 2-in 1, Touch, W11, 83DS0056US",laptop,1,no source saved,0,
lenovo-ideapad-pro-5-16irh8,Lenovo,IdeaPad Pro 5 16IRH8,laptop,1,no source saved,0,
lenovo-ideapad-slim-3-ryzen-7-8840hs-83ka000qus-touch-bklit-w11,Lenovo,IdeaPad Slim 3 (Ryzen 7),laptop,1,no source saved,0,
lenovo-ideapad-slim-3-15-6-w11-abyss-bl-82xq012hus,Lenovo,IdeaPad Slim 3 15AMN8,laptop,1,no source saved,0,
