Shop,Product,Category,Capacities we hold,Colours we hold,Price we hold,Price max,What the shop called it,CHECKED price,CHECKED per-capacity prices,CHECKED colours,Notes
eldorado,LG 65QNED80A6A,tv,,,"611,900",,Սմարթ հեռուստացույց LG 65QNED80A6A,,,,
eldorado,LG 65QNED80B6B,tv,,,"494,900",,Սմարթ հեռուստացույց LG 65QNED80B6B,,,,
eldorado,LG 65QNED86T6A,tv,,,"549,900",,Հեռուստացույց LG 65QNED86T6A Smart,,,,
eldorado,LG 65UA75009LA,tv,,,"329,900",,Սմարթ հեռուստացույց LG 65UA75009LA,,,,
eldorado,LG 75NU850B6LA,tv,,,"469,900",,Սմարթ հեռուստացույց LG 75NU850B6LA,,,,
eldorado,LG 75QNED70B6A,tv,,,"569,900",,Սմարթ հեռուստացույց LG 75QNED70B6A,,,,
eldorado,LG 75QNED85B6B,tv,,,"1,097,900",,Սմարթ հեռուստացույց LG 75QNED85B6B,,,,
eldorado,LG 75QNED86A6A,tv,,,"1,079,900",,Սմարթ հեռուստացույց LG 75QNED86A6A,,,,
eldorado,LG 85QNED70B6A,tv,,,"773,900",,Սմարթ հեռուստացույց LG 85QNED70B6A,,,,
eldorado,LG OLED55C6RLA,tv,,,"1,016,900",,Սմարթ հեռուստացույց LG OLED55C6RLA,,,,
eldorado,LG OLED65B5RLA,tv,,,"899,900",,Սմարթ հեռուստացույց LG OLED65B5RLA,,,,
eldorado,LG OLED65C5RLA,tv,,,"1,249,900",,Սմարթ հեռուստացույց LG OLED65C5RLA,,,,
eldorado,LG OLED65G5RLA,tv,,,"1,399,900",,Սմարթ հեռուստացույց LG OLED65G5RLA,,,,
eldorado,LG OLED83C4RLA,tv,,,"2,549,900",,Հեռուստացույց LG OLED83C4RLA Smart,,,,
eldorado,Nothing Ear Open B182,headphones,,,"89,900",,Nothing Ear Open B182 սպիտակ անլար ականջակալ,,,,
eldorado,"Philips 24"" USB-C 24E1N3300A/00",monitor,,,"82,900",,"Մոնիտոր Philips 24"" USB-C 24E1N3300A/00",,,,
eldorado,Samsung 27D300GAU,monitor,,,"59,900",,Մոնիտոր Samsung 27D300GAU Black,,,,
eldorado,"Samsung EO-IC100, USB Type-C",headphones,,,"9,900",,Ականջակալ Samsung EO-IC100  USB Type-C White,,,,
eldorado,Samsung LS24D304GAU,monitor,,,"46,900",,Մոնիտոր Samsung LS24D304GAU,,,,
eldorado,Samsung LS27BG400EUXEN,monitor,,,"99,900",,Մոնիտոր Samsung LS27BG400EUXEN,,,,
eldorado,Samsung LS27BG650EU,monitor,,,"209,900",,Մոնիտոր Samsung LS27BG650EU,,,,
eldorado,Samsung LS27DG300EU,monitor,,,"85,900",,Մոնիտոր Samsung LS27DG300EU,,,,
eldorado,Samsung LS32CG554EU,monitor,,,"129,900",,Մոնիտոր Samsung LS32CG554EU,,,,
eldorado,Samsung LS32D700EAU,monitor,,,"149,900",,Մոնիտոր Samsung LS32D700EAU,,,,
eldorado,Samsung LS32FM700UU,monitor,,,"199,900",,Մոնիտոր Samsung LS32FM700UU,,,,
eldorado,Samsung LS34C500GAU,monitor,,,"149,900",,Մոնիտոր Samsung LS34C500GAU,,,,
eldorado,Samsung Odyssey G4 LS25BG400EIXCI,monitor,,,"89,900",,Մոնիտոր Samsung Odyssey G4 LS25BG400EIXCI,,,,
eldorado,Samsung Odyssey G5 S32CG552EU,monitor,,,"149,900",,Մոնիտոր Samsung Odyssey G5 S32CG552EU,,,,
eldorado,Samsung QE43Q60BA,tv,,,"199,900",,"Սմարթ հեռուստացույց Samsung 43"" QE43Q60BA 4K UHD QLED",,,,
eldorado,Samsung QE43Q7FAAUXRU,tv,,,"223,900",,Սմարթ հեռուստացույց Samsung QE43Q7FAAUXRU,,,,
eldorado,Samsung QE50Q7FAAUXRU,tv,,,"298,900",,Սմարթ հեռուստացույց Samsung QE50Q7FAAUXRU,,,,
eldorado,Samsung QE55Q60ABUXRU,tv,,,"479,900",,հեռուստացույց Samsung 55'' QLED 4K Q60AB Smart (QE55Q60ABUXRU),,,,
eldorado,Samsung QE55Q7FAAUXRU,tv,,,"352,900",,Սմարթ հեռուստացույց Samsung QE55Q7FAAUXRU,,,,
eldorado,Samsung QE55Q7FAM,tv,,,"4,894,000",,Հայելի հեռուստացույցով Samsung QE55Q7FAM,,,,
eldorado,Samsung QE55S95CAUXRU,tv,,,"697,900",,"հեռուստացույց Samsung 55""QE55S95CAUXRU Smart",,,,
eldorado,Samsung QE65QN85DBUXRU,tv,,,"718,900",,հեռուստացույց Samsung QE65QN85DBUXRU Smart,,,,
eldorado,Samsung QE65QN90FAUXRU,tv,,,"1,307,900",,Սմարթ հեռուստացույց Samsung QE65QN90FAUXRU,,,,
eldorado,Samsung QE65S90DAUXRU,tv,,,"1,199,000",,հեռուստացույց Samsung QE65S90DAUXRU Smart,,,,
eldorado,Samsung QE75Q60DAUXRU,tv,,,"689,900",,Սմարթ հեռուստացույց Samsung QE75Q60DAUXRU,,,,
eldorado,Samsung QE75Q70DAUXRU,tv,,,"849,900",,Հեռուստացույց Samsung QE75Q70DAUXRU,,,,
eldorado,Samsung QE75QN70FAUXRU,tv,,,"690,000",,Սմարթ հեռուստացույց Samsung QE75QN70FAUXRU,,,,
eldorado,Samsung QE75QN90CAUXRU,tv,,,"1,184,900",,"Սմարթ հեռուստացույց Samsung QE75QN90CAUXRU 75"" Neo QLED 4K",,,,
eldorado,Samsung QE77S95FAUXRU,tv,,,"1,710,000",,Սմարթ հեռուստացույց Samsung QE77S95FAUXRU,,,,
eldorado,Samsung QE85Q60DAUXRU,tv,,,"1,319,000",,հեռուստացույց Samsung QE85Q60DAUXRU Smart,,,,
eldorado,Samsung S27D402G,monitor,,,"205,900",,Մոնիտոր Samsung S27D402G Black,,,,
eldorado,Samsung UE55DU8000UXRU,tv,,,"359,000",,հեռուստացույց Samsung UE55DU8000UXRU Smart,,,,
eldorado,Samsung UE55U8000FUXRU,tv,,,"192,000",,Սմարթ հեռուստացույց Samsung UE55U8000FUXRU,,,,
eldorado,Samsung UE65U8000FUXRU,tv,,,"247,000",,Սմարթ հեռուստացույց Samsung UE65U8000FUXRU,,,,
eldorado,Samsung UE75M80HAUXPY,tv,,,"629,000",,Սմարթ հեռուստացույց Samsung UE75M80HAUXPY,,,,
eldorado,Sennheiser Accentum ACAEBT,headphones,,,"89,900",,Անլար ականջակալ Sennheiser Accentum ACAEBT սպիտակ,,,,
eldorado,Sennheiser Accentum Plus,headphones,,,"119,900",,Անլար ականջակալ Sennheiser Accentum Plus (ACPAEBT) սև,,,,
eldorado,Sennheiser Accentum True Special Edition ATW1 SE,headphones,,,"99,900",,Ականջակալ Sennheiser Accentum True Special Edition ATW1 SE կապույտ,,,,
eldorado,Sennheiser Accentum True Wireless ATW1,headphones,,,"99,900",,Ականջակալ Sennheiser Accentum True Wireless ATW1 սպիտակ,,,,
eldorado,Sennheiser Accentum Wireless ACAEBT,headphones,,,"89,900",,Անլար ականջակալ Sennheiser Accentum Wireless ACAEBT սև,,,,
eldorado,Sennheiser HD 450BT,headphones,,,"69,900",,Անլար ականջակալ Sennheiser HD 450BT Black,,,,
eldorado,Sennheiser HD 599,headphones,,,"95,900",,Ականջակալ Sennheiser HD 599,,,,
eldorado,Sennheiser HD 620S,headphones,,,"159,900",,Sennheiser HD 620S Ականջակալ,,,,
eldorado,Sennheiser Momentum M4AEBT,headphones,,,"169,900",,Անլար ականջակալ Sennheiser Momentum M4AEBT սև,,,,
eldorado,Sennheiser Momentum Sport MSPORT1,headphones,,,"159,900",,Ականջակալ Sennheiser Momentum Sport MSPORT1 Olive,,,,
eldorado,Sennheiser RS 195,headphones,,,"159,900",,Sennheiser RS 195 Black Ականջակալ,,,,
eldorado,Sony Playstation Pulse Elite wireless PS5,headphones,,,"79,900",,Անլար ականջակալ Sony Playstation Pulse Elite wireless PS5,,,,
eldorado,Sony WF-C500 True Wireless,headphones,,,"37,900",,Sony WF-C500 True Wireless (YY2952) անլար ականջակալ նարնջագույն,,,,
eldorado,Sony WHULT900N,headphones,,,"89,900",,Sony WHULT900N White Անլար ականջակալ,,,,
eldorado,TCL 115C7K,tv,,,"6,398,900",,Սմարթ հեռուստացույց TCL 115C7K,,,,
eldorado,TCL 43P7K,tv,,,"179,900",,Սմարթ հեռուստացույց TCL 43P7K,,,,
eldorado,TCL 43V6C,tv,,,"149,900",,Սմարթ հեռուստացույց TCL 43V6C,,,,
eldorado,TCL 50C6K,tv,,,"309,900",,Սմարթ հեռուստացույց TCL 50C6K,,,,
eldorado,TCL 50P7L,tv,,,"275,900",,Սմարթ հեռուստացույց TCL 50P7L,,,,
eldorado,TCL 50V6C,tv,,,"209,900",,Սմարթ հեռուստացույց TCL 50V6C,,,,
eldorado,TCL 55C7K,tv,,,"439,900",,Սմարթ հեռուստացույց TCL 55C7K,,,,
eldorado,TCL 55P7K,tv,,,"279,900",,Սմարթ հեռուստացույց TCL 55P7K,,,,
eldorado,TCL 55P8L,tv,,,"299,800",,Սմարթ հեռուստացույց TCL 55P8L,,,,
eldorado,TCL 65C7L,tv,,,"639,900",,Սմարթ հեռուստացույց TCL 65C7L,,,,
eldorado,TCL 65P8K,tv,,,"279,900",,Սմարթ հեռուստացույց TCL 65P8K,,,,
eldorado,TCL 65P8L,tv,,,"381,700",,Սմարթ հեռուստացույց TCL 65P8L,,,,
eldorado,TCL 65T6D,tv,,,"409,900",,Սմարթ հեռուստացույց TCL 65T6D,,,,
eldorado,TCL 75C6K,tv,,,"729,900",,Սմարթ հեռուստացույց TCL 75C6K,,,,
eldorado,TCL 75C7K,tv,,,"779,900",,Սմարթ հեռուստացույց TCL 75C7K,,,,
eldorado,TCL 75T6D,tv,,,"519,900",,Սմարթ հեռուստացույց TCL 75T6D,,,,
eldorado,TCL 75V6D,tv,,,"459,900",,Սմարթ հեռուստացույց TCL 75V6D,,,,
eldorado,TCL 85P7L,tv,,,"699,900",,Սմարթ հեռուստացույց TCL 85P7L,,,,
eldorado,TCL 85P8L,tv,,,"695,900",,Սմարթ հեռուստացույց TCL 85P8L,,,,
eldorado,TCL 98C6K,tv,,,"1,499,000",,Սմարթ հեռուստացույց TCL 98C6K,,,,
eldorado,TCL 98P8K,tv,,,"1,199,000",,Սմարթ հեռուստացույց TCL 98P8K,,,,
eldorado,Xiaomi Redmi Buds 8 Active,headphones,,White / Black,"10,900",,Անլար ականջակալ Redmi Buds 8 Active (Black) (M2537E1) BHR08JTGL,,,,
ibolit,Apple iPad Air 5 Wi-Fi + Cellular 2022,tablet,64GB,,"365,000",,iPad Air 5 64GB Wi-Fi + Cellular 2022 Space Gray,,,,
ibolit,Apple iPad Pro 13 M4 Wi-Fi + Cellular 2024,tablet,256GB,,"598,000",,iPad Pro 13 256GB M4 Wi-Fi + Cellular 2024 Space Grey,,,,
ibolit,Apple iPad Pro 13 Wi-Fi + Cellular 2024,tablet,512GB,,"715,000",,iPad Pro 13 512GB Wi-Fi + Cellular 2024 Silver,,,,
ibolit,Xiaomi Mi Electric Kettle Pro 2,appliance,,,"3,200",,Xiaomi Mi Electric Kettle Pro 2 White,,,,
istyle,Apple iMac 24-inch M3 8RAM /2023,desktop,,,"879,000",,iMac 24-inch M3 8RAM /2023/,,,,
istyle,Apple iPad 10 A16 Wi-Fi /2025,tablet,,,"215,000",,iPad 10 A16 Wi-Fi /2025/,,,,
istyle,Apple iPad Mini 7 WiFi,tablet,,,"223,000",,iPad Mini 7 WiFi,,,,
istyle,Apple MacBook Air M5 13. RAM,laptop,,,"779,000",,MacBook Air M5 13.6/24 RAM,,,,
istyle,Apple MacBook Air M5 RAM,laptop,16GB / 24GB,,"579,000","859,000",MacBook Air M5 13/16GB RAM | MacBook Air M5 15/24GB RAM,,,,
istyle,Dyson AirStarit,appliance,,,"157,000","175,000",Dyson AirStarit (HT01) Amber Silk,,,,
istyle,Dyson AirStarit 2026,appliance,,,"175,000",,Dyson AirStarit (HT01) Orange 2026,,,,
istyle,Dyson AirStarit Kanzan,appliance,,,"162,000",,Dyson AirStarit (HT01) Kanzan Pink,,,,
istyle,Dyson AirStarit Plum,appliance,,,"165,000",,Dyson AirStarit (HT01) Jasper Plum,,,,
